epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202142,2021-10-20,549,PA,Oriximiná,1505304,city,8243,11136.78124,0,165,0,0.02,74016,False,True
202142,2021-10-19,548,PA,Oriximiná,1505304,city,8243,11136.78124,0,165,0,0.02,74016,False,True
202142,2021-10-18,547,PA,Oriximiná,1505304,city,8243,11136.78124,0,165,0,0.02,74016,False,True
202142,2021-10-17,546,PA,Oriximiná,1505304,city,8243,11136.78124,4,165,3,0.02,74016,True,False
202141,2021-10-16,545,PA,Oriximiná,1505304,city,8239,11131.377,0,162,0,0.0197,74016,False,True
202141,2021-10-15,544,PA,Oriximiná,1505304,city,8239,11131.377,20,162,1,0.0197,74016,False,False
202141,2021-10-14,543,PA,Oriximiná,1505304,city,8219,11104.35581,4,161,0,0.0196,74016,False,False
202141,2021-10-13,542,PA,Oriximiná,1505304,city,8215,11098.95158,8,161,0,0.0196,74016,False,False
202141,2021-10-12,541,PA,Oriximiná,1505304,city,8207,11088.1431,9,161,0,0.0196,74016,False,False
202141,2021-10-11,540,PA,Oriximiná,1505304,city,8198,11075.98357,0,161,0,0.0196,74016,False,True
202141,2021-10-10,539,PA,Oriximiná,1505304,city,8198,11075.98357,4,161,1,0.0196,74016,False,False
202140,2021-10-09,538,PA,Oriximiná,1505304,city,8194,11070.57933,0,160,0,0.0195,74016,False,True
202140,2021-10-08,537,PA,Oriximiná,1505304,city,8194,11070.57933,0,160,0,0.0195,74016,False,True
202140,2021-10-07,536,PA,Oriximiná,1505304,city,8194,11070.57933,0,160,0,0.0195,74016,False,True
202140,2021-10-06,535,PA,Oriximiná,1505304,city,8194,11070.57933,10,160,1,0.0195,74016,False,False
202140,2021-10-05,534,PA,Oriximiná,1505304,city,8184,11057.06874,9,159,5,0.0194,74016,False,False
202140,2021-10-04,533,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202140,2021-10-03,532,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202139,2021-10-02,531,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202139,2021-10-01,530,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202139,2021-09-30,529,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202139,2021-09-29,528,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202139,2021-09-28,527,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202139,2021-09-27,526,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202139,2021-09-26,525,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202138,2021-09-25,524,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202138,2021-09-24,523,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202138,2021-09-23,522,PA,Oriximiná,1505304,city,8175,11044.90921,0,154,0,0.0188,74016,False,True
202138,2021-09-22,521,PA,Oriximiná,1505304,city,8175,11044.90921,1,154,0,0.0188,74016,False,False
202138,2021-09-21,520,PA,Oriximiná,1505304,city,8174,11043.55815,10,154,8,0.0188,74016,False,False
202138,2021-09-20,519,PA,Oriximiná,1505304,city,8164,11030.04756,5,146,0,0.0179,74016,False,False
202138,2021-09-19,518,PA,Oriximiná,1505304,city,8159,11023.29226,0,146,0,0.0179,74016,False,True
202137,2021-09-18,517,PA,Oriximiná,1505304,city,8159,11023.29226,0,146,0,0.0179,74016,False,False
202137,2021-09-17,516,PA,Oriximiná,1505304,city,8159,11023.29226,0,146,0,0.0179,74016,False,True
202137,2021-09-16,515,PA,Oriximiná,1505304,city,8159,11023.29226,0,146,1,0.0179,74016,False,False
202137,2021-09-15,514,PA,Oriximiná,1505304,city,8159,11023.29226,0,145,1,0.0178,74016,False,False
202137,2021-09-14,513,PA,Oriximiná,1505304,city,8159,11023.29226,0,144,0,0.0176,74016,False,False
202137,2021-09-13,512,PA,Oriximiná,1505304,city,8159,11023.29226,1,144,1,0.0176,74016,False,False
202137,2021-09-12,511,PA,Oriximiná,1505304,city,8158,11021.9412,0,143,0,0.0175,74016,False,False
202136,2021-09-11,510,PA,Oriximiná,1505304,city,8158,11021.9412,1,143,0,0.0175,74016,False,False
202136,2021-09-10,509,PA,Oriximiná,1505304,city,8157,11020.59014,1,143,1,0.0175,74016,False,False
202136,2021-09-09,508,PA,Oriximiná,1505304,city,8156,11019.23908,0,142,0,0.0174,74016,False,False
202136,2021-09-08,507,PA,Oriximiná,1505304,city,8156,11019.23908,0,142,0,0.0174,74016,False,False
202136,2021-09-07,506,PA,Oriximiná,1505304,city,8156,11019.23908,0,142,0,0.0174,74016,False,False
202136,2021-09-06,505,PA,Oriximiná,1505304,city,8156,11019.23908,1,142,0,0.0174,74016,False,False
202136,2021-09-05,504,PA,Oriximiná,1505304,city,8155,11017.88802,0,142,1,0.0174,74016,False,False
202135,2021-09-04,503,PA,Oriximiná,1505304,city,8155,11017.88802,5,141,0,0.0173,74016,False,False
202135,2021-09-03,502,PA,Oriximiná,1505304,city,8150,11011.13273,5,141,0,0.0173,74016,False,False
202135,2021-09-02,501,PA,Oriximiná,1505304,city,8145,11004.37743,6,141,1,0.0173,74016,False,False
202135,2021-09-01,500,PA,Oriximiná,1505304,city,8139,10996.27108,2,140,1,0.0172,74016,False,False
202135,2021-08-31,499,PA,Oriximiná,1505304,city,8137,10993.56896,5,139,0,0.0171,74016,False,False
202135,2021-08-30,498,PA,Oriximiná,1505304,city,8132,10986.81366,2,139,0,0.0171,74016,False,False
202135,2021-08-29,497,PA,Oriximiná,1505304,city,8130,10984.11154,0,139,0,0.0171,74016,False,False
202134,2021-08-28,496,PA,Oriximiná,1505304,city,8130,10984.11154,0,139,0,0.0171,74016,False,False
202134,2021-08-27,495,PA,Oriximiná,1505304,city,8130,10984.11154,1,139,1,0.0171,74016,False,False
202134,2021-08-26,494,PA,Oriximiná,1505304,city,8129,10982.76048,3,138,2,0.017,74016,False,False
202134,2021-08-25,493,PA,Oriximiná,1505304,city,8126,10978.70731,3,136,1,0.0167,74016,False,False
202134,2021-08-24,492,PA,Oriximiná,1505304,city,8123,10974.65413,3,135,0,0.0166,74016,False,False
202134,2021-08-23,491,PA,Oriximiná,1505304,city,8120,10970.60095,1,135,0,0.0166,74016,False,False
202134,2021-08-22,490,PA,Oriximiná,1505304,city,8119,10969.24989,0,135,0,0.0166,74016,False,False
202133,2021-08-21,489,PA,Oriximiná,1505304,city,8119,10969.24989,0,135,0,0.0166,74016,False,False
